"DateTime,""Players"",""Flags"",""Twitch Viewers"""
2017-08-21 00:00:00,555466,,53207
2017-08-22 00:00:00,550432,,82158
2017-08-23 00:00:00,551829,,72447
2017-08-24 00:00:00,544368,,60183
2017-08-25 00:00:00,537541,,82158
2017-08-26 00:00:00,560708,,65982
2017-08-27 00:00:00,598656,,124812
2017-08-28 00:00:00,568901,,38526
2017-08-29 00:00:00,572216,,56435
2017-08-30 00:00:00,568790,,204525
2017-08-31 00:00:00,548525,,209432
2017-09-01 00:00:00,539475,,217641
2017-09-02 00:00:00,579851,,283417
2017-09-03 00:00:00,593235,,275094
2017-09-04 00:00:00,577061,,48059
2017-09-05 00:00:00,546878,,55803
2017-09-06 00:00:00,557450,,55465
2017-09-07 00:00:00,566040,,127738
2017-09-08 00:00:00,588277,,96299
2017-09-09 00:00:00,602111,,166155
2017-09-10 00:00:00,599224,,164669
2017-09-11 00:00:00,556861,,42310
2017-09-12 00:00:00,534626,,42446
2017-09-13 00:00:00,546069,,40965
2017-09-14 00:00:00,547273,,46426
2017-09-15 00:00:00,634902,,168518
2017-09-16 00:00:00,632688,,272380
2017-09-17 00:00:00,681413,,282030
2017-09-18 00:00:00,553806,,59723
2017-09-19 00:00:00,554338,,48675
2017-09-20 00:00:00,562646,,68588
2017-09-21 00:00:00,562963,,82933
2017-09-22 00:00:00,616501,,91176
2017-09-23 00:00:00,631448,,120775
2017-09-24 00:00:00,664381,,71235
2017-09-25 00:00:00,548050,,80744
2017-09-26 00:00:00,537705,,65055
2017-09-27 00:00:00,541534,,70260
2017-09-28 00:00:00,524556,,74398
2017-09-29 00:00:00,577291,,74309
2017-09-30 00:00:00,620094,,157928
2017-10-01 00:00:00,611518,,108817
2017-10-02 00:00:00,537514,,89391
2017-10-03 00:00:00,543065,,77303
2017-10-04 00:00:00,549053,,104475
2017-10-05 00:00:00,549107,,69484
2017-10-06 00:00:00,604716,,69368
2017-10-07 00:00:00,637380,,65039
2017-10-08 00:00:00,608484,,95129
2017-10-09 00:00:00,561918,,63165
2017-10-10 00:00:00,538813,,134675
2017-10-11 00:00:00,567882,,128788
2017-10-12 00:00:00,579953,,158080
2017-10-13 00:00:00,623998,,88598
2017-10-14 00:00:00,644082,,86518
2017-10-15 00:00:00,620344,,109153
2017-10-16 00:00:00,558088,,57731
2017-10-17 00:00:00,537573,,64930
2017-10-18 00:00:00,545310,,100697
2017-10-19 00:00:00,557610,,82560
2017-10-20 00:00:00,613627,,70370
2017-10-21 00:00:00,638306,,77157
2017-10-22 00:00:00,606747,,125300
2017-10-23 00:00:00,537976,,101214
2017-10-24 00:00:00,531758,,187633
2017-10-25 00:00:00,531604,,243647
2017-10-26 00:00:00,538111,,153146
2017-10-27 00:00:00,580500,,33325
2017-10-28 00:00:00,610301,,260540
2017-10-29 00:00:00,580309,,574565
2017-10-30 00:00:00,523187,,45826
2017-10-31 00:00:00,513681,,41722
2017-11-01 00:00:00,539262,,84218
2017-11-02 00:00:00,549402,,93839
2017-11-03 00:00:00,567808,,95799
2017-11-04 00:00:00,589590,,124111
2017-11-05 00:00:00,583008,,126394
2017-11-06 00:00:00,499132,,41047
2017-11-07 00:00:00,494940,,52627
2017-11-08 00:00:00,486659,,81324
2017-11-09 00:00:00,486288,,66708
2017-11-10 00:00:00,547883,,73993
2017-11-11 00:00:00,587871,,101646
2017-11-12 00:00:00,560426,,89701
2017-11-13 00:00:00,482962,,57783
2017-11-14 00:00:00,513621,,157030
2017-11-15 00:00:00,534564,,222709
2017-11-16 00:00:00,516933,,166097
2017-11-17 00:00:00,568119,,126725
2017-11-18 00:00:00,602797,,256617
2017-11-19 00:00:00,585195,,282096
2017-11-20 00:00:00,531437,,243165
2017-11-21 00:00:00,500243,,49664
2017-11-22 00:00:00,518804,,66759
2017-11-23 00:00:00,510407,,48424
2017-11-24 00:00:00,552587,,131174
2017-11-25 00:00:00,576143,,267057
2017-11-26 00:00:00,577085,,100062
2017-11-27 00:00:00,509051,,69578
2017-11-28 00:00:00,509630,,46869
2017-11-29 00:00:00,516162,,40810
2017-11-30 00:00:00,520337,,48913
2017-12-01 00:00:00,567425,,166332
2017-12-02 00:00:00,595057,,125489
2017-12-03 00:00:00,576910,,231379
2017-12-04 00:00:00,520456,,49246
2017-12-05 00:00:00,515183,,92367
2017-12-06 00:00:00,521198,,102175
2017-12-07 00:00:00,524875,,54782
2017-12-08 00:00:00,573360,,61565
2017-12-09 00:00:00,597245,,94825
2017-12-10 00:00:00,568209,,209745
2017-12-11 00:00:00,525852,,44522
2017-12-12 00:00:00,507127,,45973
2017-12-13 00:00:00,504585,,52866
2017-12-14 00:00:00,509276,,43854
2017-12-15 00:00:00,547230,,39355
2017-12-16 00:00:00,567984,,38503
2017-12-17 00:00:00,555527,,46302
2017-12-18 00:00:00,523730,,45718
2017-12-19 00:00:00,516719,,48951
2017-12-20 00:00:00,523831,,39925
2017-12-21 00:00:00,523752,,52706
2017-12-22 00:00:00,555899,,34797
2017-12-23 00:00:00,563128,,43980
2017-12-24 00:00:00,480947,,29180
2017-12-25 00:00:00,498570,,48947
2017-12-26 00:00:00,541428,,51048
2017-12-27 00:00:00,567700,,46944
2017-12-28 00:00:00,571746,,56175
2017-12-29 00:00:00,595916,,38217
2017-12-30 00:00:00,601351,,37113
2017-12-31 00:00:00,525010,,19449
2018-01-01 00:00:00,562303,,62920
2018-01-02 00:00:00,585366,,52562
2018-01-03 00:00:00,586264,,57313
2018-01-04 00:00:00,594399,,55531
2018-01-05 00:00:00,624935,,80334
2018-01-06 00:00:00,637505,,81810
2018-01-07 00:00:00,630304,,114545
2018-01-08 00:00:00,576748,,53430
2018-01-09 00:00:00,566722,,37706
2018-01-10 00:00:00,567567,,35185
2018-01-11 00:00:00,568774,,37105
2018-01-12 00:00:00,668760,,418001
2018-01-13 00:00:00,719298,,450123
2018-01-14 00:00:00,685671,,539754
2018-01-15 00:00:00,636333,,528680
2018-01-16 00:00:00,593744,,329336
2018-01-17 00:00:00,599972,,50770
2018-01-18 00:00:00,595232,,55395
2018-01-19 00:00:00,655649,,539562
2018-01-20 00:00:00,699554,,599581
2018-01-21 00:00:00,680851,,699367
2018-01-22 00:00:00,624715,,606514
2018-01-23 00:00:00,625218,,394165
2018-01-24 00:00:00,615915,,64383
2018-01-25 00:00:00,637926,,54432
2018-01-26 00:00:00,678188,,624245
2018-01-27 00:00:00,706921,,785661
2018-01-28 00:00:00,696163,,1299275
2018-01-29 00:00:00,644694,,251787
2018-01-30 00:00:00,638633,,75341
2018-01-31 00:00:00,637591,,79931
