DateTime,Players
4/4/2019 0:00,103782
4/5/2019 0:00,111192
4/6/2019 0:00,114228
4/7/2019 0:00,110738
4/8/2019 0:00,94089
4/9/2019 0:00,89634
4/10/2019 0:00,93391
4/11/2019 0:00,91894
4/12/2019 0:00,110970
4/13/2019 0:00,125421
4/14/2019 0:00,113323
4/15/2019 0:00,92094
4/16/2019 0:00,86030
4/17/2019 0:00,90127
4/18/2019 0:00,96030
4/19/2019 0:00,111497
4/20/2019 0:00,113107
4/21/2019 0:00,98428
4/22/2019 0:00,93654
4/23/2019 0:00,88578
4/24/2019 0:00,83417
4/25/2019 0:00,84424
4/26/2019 0:00,96065
4/27/2019 0:00,101912
4/28/2019 0:00,98045
4/29/2019 0:00,81121
4/30/2019 0:00,87896
5/1/2019 0:00,95733
5/2/2019 0:00,86342
5/3/2019 0:00,95298
5/4/2019 0:00,100251
5/5/2019 0:00,99939
5/6/2019 0:00,81672
5/7/2019 0:00,80357
5/8/2019 0:00,83450
5/9/2019 0:00,80707
5/10/2019 0:00,97033
5/11/2019 0:00,109311
5/12/2019 0:00,96951
5/13/2019 0:00,71418
5/14/2019 0:00,61766
5/15/2019 0:00,84666
5/16/2019 0:00,84482
5/17/2019 0:00,103950
5/18/2019 0:00,115431
5/19/2019 0:00,106240
5/20/2019 0:00,90725
5/21/2019 0:00,94894
5/22/2019 0:00,90913
5/23/2019 0:00,89622
5/24/2019 0:00,105074
5/25/2019 0:00,115531
5/26/2019 0:00,104409
5/27/2019 0:00,89834
5/28/2019 0:00,90805
5/29/2019 0:00,90470
5/30/2019 0:00,93867
5/31/2019 0:00,104459
6/1/2019 0:00,99784
6/2/2019 0:00,101548
6/3/2019 0:00,85792
6/4/2019 0:00,87791
6/5/2019 0:00,89222
6/6/2019 0:00,101874
6/7/2019 0:00,109946
6/8/2019 0:00,121883
6/9/2019 0:00,116337
6/10/2019 0:00,106254
6/11/2019 0:00,114333
6/12/2019 0:00,134534
6/13/2019 0:00,126119
6/14/2019 0:00,135458
6/15/2019 0:00,140445
6/16/2019 0:00,129947
6/17/2019 0:00,114259
6/18/2019 0:00,119749
6/19/2019 0:00,117740
6/20/2019 0:00,120479
6/21/2019 0:00,125733
6/22/2019 0:00,129290
6/23/2019 0:00,122049
6/24/2019 0:00,104366
6/25/2019 0:00,107594
6/26/2019 0:00,106998
6/27/2019 0:00,106957
6/28/2019 0:00,115462
6/29/2019 0:00,116900
6/30/2019 0:00,115182
7/1/2019 0:00,107430
7/2/2019 0:00,124810
7/3/2019 0:00,128935
7/4/2019 0:00,119331
7/5/2019 0:00,123412
7/6/2019 0:00,124324
7/7/2019 0:00,122366
7/8/2019 0:00,112880
7/9/2019 0:00,111746
7/10/2019 0:00,113506
7/11/2019 0:00,113425
7/12/2019 0:00,118367
7/13/2019 0:00,120138
7/14/2019 0:00,118322
7/15/2019 0:00,111362
7/16/2019 0:00,111453
7/17/2019 0:00,108604
7/18/2019 0:00,109334
7/19/2019 0:00,113042
7/20/2019 0:00,114044
7/21/2019 0:00,113222
7/22/2019 0:00,102121
7/23/2019 0:00,104510
7/24/2019 0:00,103610
7/25/2019 0:00,102749
7/26/2019 0:00,105865
7/27/2019 0:00,107262
7/28/2019 0:00,107710
7/29/2019 0:00,103664
7/30/2019 0:00,104534
7/31/2019 0:00,104314
8/1/2019 0:00,94930
8/2/2019 0:00,104081
8/3/2019 0:00,105159
8/4/2019 0:00,104519
8/5/2019 0:00,100121
8/6/2019 0:00,102016
8/7/2019 0:00,99515
8/8/2019 0:00,101718
8/9/2019 0:00,106984
8/10/2019 0:00,108644
8/11/2019 0:00,107968
8/12/2019 0:00,96059
8/13/2019 0:00,95674
8/14/2019 0:00,103614
8/15/2019 0:00,102178
8/16/2019 0:00,109891
8/17/2019 0:00,115973
8/18/2019 0:00,114841
8/19/2019 0:00,114675
8/20/2019 0:00,109797
8/21/2019 0:00,109274
8/22/2019 0:00,108739
8/23/2019 0:00,114495
8/24/2019 0:00,119281
8/25/2019 0:00,118254
8/26/2019 0:00,106782
8/27/2019 0:00,106989
8/28/2019 0:00,108406
8/29/2019 0:00,117927
8/30/2019 0:00,131091
